id, name, address,rating,review_count
312611,Days Hotel by Wyndham Olaya Riyadh,"Olaya Street Ibrahim Al Khayyari, connecting Olaya and King Fahad Road, PO Box 295932 Riyadh, 11351, Saudi Arabia",3.7,145
312612,Hyatt Buyutat,"Riyadh , Olaya Main Road، الرياض Saudi Arabia",3.7,127
312613,Al Janadriyah 10,"Al Wara, Al Olaya, Riyadh 11543 11564, Saudi Arabia",4.4,4960
312614,Haven Plaza Hotel,"Olaya St, Al Olaya, Riyadh 12221, Saudi Arabia",3.4,1023
312615,Braira Hotel," Olaya Street 26, Olaya District, Riyadh, Kingdom of Saudi Arabia",4.4,6249
312616,Narcissus Riyadh Hotel & Spa,"Olaya Street, Corner Tahlia Streets, P.O. Box 75, Riyadh, 11372, Saudi Arabia ",4.5,14693
312617,Holiday Inn Riyadh - Olaya,"11547 Olaya St, Al Muruj, Riyadh 12281 11547, Saudi Arabia",4.2,5992
312618,Hotel ibis Riyadh Olaya Street,"Al Olaya Street، العليا، الرياض 12244, Saudi Arabia",3.8,4365
312620,Aquarium Hotel Riyadh,"Prince Musa Ed Bin Abdulaziz Bin Jlouwi, 11432, Al Murabba, Riyadh, Saudi Arabia",4,738
312621,ALmuhaidb Downtown,"King Faisal St with King Fahd Next Bank Arabia, 12623, Riyadh, Saudi Arabia",4,1063
312622,Swiss Spirit Resort Riyadh,"King Fahed Road, Abi Zarah Street, P.O.Box 7142, Riyadh, Saudi Arabia",4.1,1012
312623,Hayat Al Riyadh Hotel,"Abdul Aziz Bin Mesaed Bin Julawi, Riyadh, 15941, Saudi Arabia",4.1,1395
312624,Hayat Alriyadh Washam Hotel,"Al Washam Street, Al Riyadh, 13222, Riyadh, Saudi Arabia",4.5,1195
312625,Aquarium Hotel,"P.O.Box 5532 Riyadh 11432، Riyadh 11432, Saudi Arabia",4,738
312626,Grand Plaza Dhabab Hotel,"Prince Faisal Bin Turki Bin Abdulaziz St, Al Murabba, Riyadh 12612, Saudi Arabia",3.8,1564
312627,Almakan Hotel 105,"King Fahd Road - Behind The Immigration Department, 99999* Riad, Arabia Saudí",2.6,142
312628,Crowne Plaza Riyadh Palace,"Prince Abdul Rahman Bin Abdul Aziz St., Ministries Area, P.O. Box 2691, Riyadh, 11461, Saudi Arabia",4.4,6694
312630,Best Western Plus Fursan,"Eastern Ring Rd, Near Al Khaleej Training and Education، King Abdullah, Riyadh. 12426, Saudi Arabia",4.2,1122
312631,Vittori Palace Hotel and Residences,"Al Wedian Al Urubah Road, king Abdullah Dist, Riyadh, 12426, Saudi Arabia",4.2,2997
312632,Radisson Blu Hotel Riyadh Convention and Exhibition Center,"Rey Abdullah Ibn Abdulaziz Rd, King Abdullah Dist, Riad, Arabia Saudita",4.6,2837
312635,Boudl Gaber Hotel,"4308, Al Khaleej, Riyadh 13224, Saudi Arabia",4.1,1237
312636,Ewaa Express Hotel - Gaber,"8696 Shaikh Jaber Alahmed Alsabah, Al Khaleej, Riyadh, 13224, 11553, Riyadh, Saudi Arabia",4,886
312637,La Perla Hotel,"Sheikh Jaber Al-Ahmad Al-Sabah Street, 9018, Riyadh, 13216, Saudi Arabia",3.9,333
312638,Silent Room 2,"Shaikh Jaber Alahmed Alsabah, 13224, Riyadh, Saudi Arabia",4.5,17981
312639,Dorar Darea Hotel Apartments - Al Malqa 2,"Nawar Valley Street, Al Malqa District, 31311, Riyadh, Saudi Arabia",3.5,258
312640,Asfar Plaza Hotel & Apartments,"Muhammad Iben Abdulaziz Ad Daghaythir, 11416, Riad, Saudi Arabia",3.8,248
312641,Aram House Hotel Apartments,"430, From King Fahad Road, 13521, Riyadh, Saudi Arabia",4.8,1337
312642,Doolv Hotel,"4075 Nawar Valley, Almalqa District, Wadi Nuwwar, 31991, Riyadh, Saudi Arabia",3.7,809
312643,Doolv Hotel 2,"Almalqa district , Al umrah street, 31991, Riyadh, Saudi Arabia",3.7,809
312644,OYO 160 Dotel Suites,"Nawar Valley 12, 11111 Riad, Arabia Saudí ",3.6,304
312645,"Elite Suites Hotel, almalqa","Muhammad Ibn Abdulaziz Ad Daghaythir, Al Malqa, 13521 Riyadh, Saudi Arabia",4,1197
312646,Celine Home Hotel,"Al Umrah St, Al Malga District, 13521, Riyadh, Saudi Arabia",4.3,1263
312647,Masaken Al Naifat Furnished Units,"Almalqa District, 11322, Riyadh, Saudi Arabia",4,326
312648,Almakan Suites 111,"South Circular Road 4351, 14711, Riyadh, Saudi Arabia",4.8,1324
312649,VOYAGE RESIDENCE,"Al Ahamda St. Hittin, 13523, Riyadh, Saudi Arabia",4.6,111
