id,name,address,rating,review_count
29856,Elaf Suites Al-Andalus,"Al Andalus Road, Fayd Al Rahmah street, 21442, Jeddah, Saudi Arabia",4.1,797
29857,Al Baia Hotel,"Al Balad, 21422, Yeda, Saudi Arabia",3.4,316
29858,Rose AlSalam Hotel,"An Naim District 9114, 21323, Jeddah, Saudi Arabia",3.3,442
29859,Diouf Al Nabarees Hotel,"6562 Al Jamiah, Ath Thaghr District, 22338, Jeddah, Saudi Arabia",3.5,2031
29860,Konal suites,"Al Hamra, 22233, Jeddah, Saudi Arabia",3.8,509
29861,Velvet Hotel,"Azizyah district, King Fahad Branch Road, 21361, Yeda, Saudi Arabia",4.0,1915
29862,AL Reehan Homes Furnished Units,"JEDDAH, 20376, Jeddah, Saudi Arabia",3.9,336
29863,OYO 589 Lavina House,"NA, Prince Sultan Road, Al Basateen, Jeddah",2.9,161
29864,Jiwar Hotel,"Al Naseem Street 6533, 23233, Jeddah, Saudi Arabia",4.2,719
29865,Boudl Quraish,"Quraish Street, Al Salamah District , Al Salamah, 11372, Jeddah, Saudi Arabia ",4.1,1421
29866, Q Suites Jeddah by EWA,"Al Rawdah district, PO Box 9531 , Jeddah, Saudi Arabia",3.9,733
29867,Al Muhaidb Palastine,"Falastain Street - near Sulaiman Faqih Hospital, Al Hamra, 21411, Jeddah, Saudi Arabia",3.9,798
29868,Three Points Hotel,"Al Ham'mra District, Muhyi Ad Din An Nadhir, Al Hamra, 23212, Jeddah, Saudi Arabia",4.1,768
29869,AlMuhaidb Sixty Hotel Apartment II,"Falastin Street with Al Setin, King Fahed Road, Jeddah, Saudi Arabia",4.7,116
29870,Al Eairy Furnished Apartments - Jeddah 1,"Falastin, 52261 Jeddah, Saudi Arabia ",3.0,4
29871,Al Eairy Furnished Apartments - Jeddah 2,"Falastin Street, 52261, Jeddah, Saudi Arabia",2.8,237
29872,Al Eairy Apartments - Jeddah 4,"King Fahd Road, 52261, Jeddah, Saudi Arabia",3.0,4
29873,The Artisan Hotel,"Hira St., Next to Manuel, Jeddah, Saudi Arabia",4.3,685
29874,Oasis Rise Hotel Apartments,"6945 Ar Rayyan, Mishrifah Dist., Jeddah, Saudi Arabia",4.0,55
29875,Al Nabarees Palace Hotel,"Al Madinah Al Monawarah Rd., Al Faisaliah, 23442, Jeddah, Saudi Arabia",3.5,2031
29876,Dar Al Wedad Hotel,"3311 Sultan Ibn Salman, An Nuzhah District., 21512, Jeddah, Saudi Arabia",3.9,1398
29877,City Center Plaza Aparthotel,"Abi alabbas Alhadithi Street, Alnaseem District, 23233, Jeddah, Saudi Arabia",3.7,881
29878,Al Tamayouz Al Raqi 10 Taj Sabaa,"Ba Khashab Street, Jeddah, Saudi Arabia",4.7,3
29879,Bram Hotel Suites,"Prince Mutaib bin Abdulaziz Road, 21351, Jeddah, Saudi Arabia",4.2,1239
29880,Hyatt House Jeddah Sari Street,"Sari Street West, Al Salama District, 23436, Jeddah, Saudi Arabia",4.3,1857
29881,La Fontaine Al Jawharah Suites,"Al-Hamadaniyah District, 21442, Jeddah, Saudi Arabia",4.0,35
29882,Jazli Hotel Suites,"7804 Al Khateeb Al Tabrizi St., Al Bawadi District, 23443, Jeddah, Saudi Arabia",3.7,164
29883,Semac For Furnished Suites,"Qasim Zinah, 23434, Jeddah, Saudi Arabia",4.0,419
29884,Mais Jeddah Suites 1,"Prince Mutaib bin Abdulaziz Road, 21442, Jeddah, Saudi Arabia",3.3,304
29885,Rawabi Green Palace,"Prince Mutaib Street 40th, Building 6302, 21425, Jeddah, Saudi Arabia",3.3,76
29886,Loren Suites Corniche,"2516 CORNICHE STREET, 23412, Jeddah, Saudi Arabia",3.9,847
29887,Fakhamet Al Hamra Hotel Apartments,"Al Uqusur St., Al Hamra District, 23211, Jeddah, Saudi Arabia",3.3,509
29888,Green Leaf Hotel,"2593 Quraysh, 23443, Jeddah, Saudi Arabia",3.9,1151
29889,WOW JEDDAH HOTEL,"Mohamed Zidan, Al - Naim, 23526, Jeddah, Saudi Arabia",4.3,641
29890,Dunes,"Al Bawadi, Sary Road, Al-Bawadi District, Next to Hyper Panda, 22321, Jeddah, Saudi Arabia",3.9,203
29891,Ocean Hotel,"Heraa street - Jeddah building 3658, An Nuzhah district, 23542, Jeddah, Saudi Arabia",3.8,507
29892,Address Al Hamra,"Al Uqsar Street, Al Hamra District, 21382, Jeddah, Saudi Arabia",4.1,2864
29893,OYO 125 Al Hamra Palace,"Al Hamra District, Falastin Street, Al Hamra, 23212, Jeddah, Saudi Arabia ",3.4,649
29894,Quiet Dreams - Al-Murjan Branch,"Al Murjan Street, Al Murjan District, 21433, Jeddah, Saudi Arabia",3.9,448
29895,Hotel ibis Jeddah Malik Road,"Malik Road, Beside Anb Bank, 21352, Jeddah Saudi, Arabia",4.3,4199
29896,Iridium 70 Hotel," Prince Majed Road, Jeddah, Saudi Arabia",4.3,2549
29897,Mövenpick Hotel Tahlia Jeddah,"Hail Street, Al Andalus, 8749, Jeddah, Saudi Arabia",4.6,2943
29898,Lafontaine Najd Suites," Al Hamra'a District, Al Iskandariayyh Street, Al Hamra, 23212, Jeddah, Saudi Arabia ",3.9,366
29899,La Fontaine Safd Suites,"Al Salamah District opposite to Institute of Education, Al Salamah, 99999 Jeddah, Saudi Arabia",4.1,227
29900,City View Hotel by Crown Town,"6691 Um Al Momeneen Habeeba st al Naseem district in front of Jeddah Train Station, 23233, Jeddah, Saudi Arabia ",3.8,253
