id,name,address,rating,review_count
82743,Le Grand Residence,"House 314 street 84 E-11/2, 44000, E-11 Sector, Pakistan",4.4,2630
82744,Hotel One Jinnah,"Jawa Tower, i 9 Merkaz Islamabad, I-9 Sector, 44000 Islamabad, Pakistán",4.2,3405
82745,Shangrila Hotels & Resorts,"House# 24, Corner of Street# 33, F-6/1, 44000, Islamabad, Pakistan",4.4,6781
82746,Bilawal Lodge,"House 08, Street 54, Sector F-7/4, Islamabad, Pakistan",5.0,5
82747,Hotel Redison Blue Area,"35 East, Fazal e Haq Road, Blue Area, Islamabad, Islamabad, Pakistan",4.7,149
82748,Hotel City Paradise,"Express Way Link Road, East Expressway, Bilal Town Khanna, 44000, Islamabad, Pakistan",4.0,316
82749,Unique Lodge,"N#212 Street 54, Islamabad, Islamabad, Pakistan",3.8,212
82750,Chalet Islamabad,"house, 14 Street 60, Islamabad, Pakistan",4.3,538
82751,Legend Hotel Islamabad,"56A, Ataturk Avenue, G-5/2, 44000 Islamabad, Pakistán ",4.4,900
82752,Viridi Hotels,"80 East, Malik Complex, Jinnah Avenue, 44000, Islamabad, Pakistan",4.2,268
82753,Islamabad Marriott Hotel,"Aga Khan Road, Shalimar 5, Islamabad 44010, Pakistan",4.6,25229
82754,Margallah View Guesthouse,"House 29 Street 32 F 6 1, Islamabad",4.2,6
82755,Parkway Apartments,"Safari parkway road,safari villas1 Bahria town, Rawalpindi, Pakistan",4.7,3
82756,Safari Club 1,"Safari Villas, Bahria Town, Rawalpindi, Pakistan",4.4,191
82757,Sintra Hotel,"G-6 Markaz G 6, 44000, Islamabad, Pakistan",4.3,250
82758,Safari Club 4,"Safari Banquets & Suites, Commerical, Area Road, Phase 2 Bahria Town, Islamabad, Pakistan",4.3,488
82759,Grand Mongolia Hotel,"Plaza 142, Civic Center Phase-4 Bahria T, 46000, Islamabad, Pakistan",4.0,557
82760,Midtown Hotel,"Flyover Pirwadhai More, 46000, Rawalpindi, Pakistan",3.9,562
82761,Hotel Al-hameed,"Near Metro Stop, Ijp Double Road, Islamabad, Pakistan",3.9,149
82762,NUVA HOTEL,"Grand Trunk Road, 45730, Islamabad, Pakistan",4.3,141
82763,Hotel Grand Arham,"917 Murree Rd, 47000, Rawalpindi, Pakistan",3.9,72
82764,The Mark Suites,"1 Club Road, Rawal Chowk, 44000, Islamabad, Pakistan",4.4,541
82765,Executive Suite Rehin Sehin,"Hilal Rd,  F-11/1 F 11 Markaz,, 44220, Islamabad, Pakistan",5.0,4
82766,Maidi Backpacker,"Flat No. 307 3Rd Floor Sector E11/1, Khudadad Heights, Main Margalla Rd., 44000, Islamabad, Pakistan",3.5,4
82767,Avari Xpress Islamabad,"Service Road Faizabad, 46000, Rawalpindi, Pakistan",4.7,4144
82768,Executive Galaxy Guest House,"House 8, Street 11, F 8/3 F-8, 46000, Islamabad, Pakistan",4.2,328
82769,Hotel City International,"G-9 Markaz G 9 Markaz G-9, Islamabad, 44000, Pakistan",3.6,71
82770,The Knights Inn,"G.T. Rd, 44000, Islamabad, Pakistan",4.7,26
82771,City Paradise Hotel,"Islamabad Expressway, Main Service Road East, Khanna Pul, 44000, Pakistan",4.0,316
82772,Redbury Guest House,"House # 13, Street 487, G-13/1, G 13/1 G-13, Islamabad,, 44220, Pakistan",4.7,197
82773,Dream Residency,"29 Kaghan Rd, 44000, Islamabad, Pakistan",3.6,98
82774,Dastak Hotels,"Plot A, Street-1, H-13, 46000, Islamabad, Pakistan",4.0,20
82775,Embassy Lodge Motel,"Park Road,Near Gerry's, Adjacent Such Tv, Chattha Bakhtawar, 44000, Islamabad, Pakistan",4.1,2686
82776,Hotel Al-Habib Islamabad,"Markaz G-7, Islamabad, 44000, Pakistan",3.9,551
