id,name,address,rating,review_count
872574,Lavilla Inn,"Opp to Gate, 7GCQ+7FJ Souq Al Haraj, 2 ابن فرناس، الدوحة،, , Doha, 23095, Qatar",3.7,490
872578,Golden Coast,"MUSEUM STREET,CORNICHE, PO BOX 30919,DOHA,QATAR, DOHA, Doha, 30919, Qatar",3.7,2980
872582,Grand Suite,"Old Al Ghanim Road, Doha, Doha, , Qatar",4.7,931
872585,Lavilla Hotel,"IbnAqeel Street, Behind Gold SouqDohaQatar, Doha, 23095, Qatar",3.6,1412
872587,Grand Hyatt Doha Hotel & Villas,"West Bay Lagoon, West Bay LagoonDoha, Doha, 0, Qatar",4.5,4890
872589,Sehati Suite,"1153 Jawaan Street Al Saad, PO Box 47683Doha, Doha, POBOX47683, Qatar",4.7,1504
872591,Oasis Hotel And Beach Club,"RAS ABOUD, PO BOX 717,, DOHA, Doha, Po Box 717, Qatar",4.0,633
872594,Al Bustan,"P.O.Box: 955 Doha Qatar. ., Doha, Doha, 955, Qatar",0.0,0
872600,Al Ghazal,"DOHA QATAR NAJMAH IBFIRNAS STREET, DOHA, Doha, 00974, Qatar",0.0,0
872601,Al Nakheel,"Near Souq Waquif, Al Asmakh Street, P.O. Box 5662, DOHA, Doha, 5662, Qatar",0.0,0
872603,Kempinski Residences & Suites Doha,"Al Qassar Street, شارع ابا المسان - بلمسان، الدوحة،, , Doha, 32129, Qatar",4.6,1568
872631,Retaj Residence Al Sadd,"24062, Umm Al Obairyat St, , Doha, 24595, Qatar",4.6,3438
872633,Best Western Plus Doha,"20409 Al Safliya St, , Doha, 20409, Qatar",4.0,2939
872634,Retaj Residence Al Corniche,"Al Aaliya St, , Doha, 25556, Qatar",4.0,155
872637,Najd Hotel,"Doha Qatar, Souq WaqifDoha, Doha, 1274, Qatar",4.4,154
872638,Al Jomrok Boutique Hotel,"7GQM+Q69, Al Souq St, , Doha, POB 1274, Qatar",4.1,13
872640,Best Plaza West Bay Hotel,"61 West Bay Lagoon Street, Diplomatic Area21336 Doha, Doha, 21336, Qatar",4.6,3725
872642,Marsa Malaz Kempinski The Pearl Doha,"The Pearl - Doha Costa Malaz Bay, Marina Drive، الدوحة،, , Doha, 32129, Qatar",4.7,8816
872643,Warwick Doha Hotel,"Al Sadd Sports Round About Al Rayyan Road (in front of Women's Hospital), Sports RoundaboutAl Rayyan RoadAl Sadd Area, Doha, 24483, Qatar",4.3,3363
872644,Doha Downtown Hotel Apartments,"32080, Al Kinana St, , Doha, 32080, Qatar",3.5,187
872650,Guest Palace Hotel,"B Ring Road Uhmu Ghalina area, Doha near Sana signal، 7GJV+7J9, , Doha, 3762, Qatar",3.7,101
872667,Rawdat Al Khail Hotel,"Doha Qatar Al Muntazah.Abu El Qasim Al Shabi St . Near Al Muntazah Garden, P.O Box 1109Near Al Muntazah GardenDoha, Doha, 39195, Qatar",4.3,328
872672,The Avenue Doha,"Al Sadd District, شارع جوعان، الدوحة،, , Doha, 6036, Qatar",4.0,1829
872675,Qairawan Suites Hotel Apartments,"Al Nada Street Al Jadeeda, Al JadeedaDoha, Doha, , Qatar",4.8,2394
872681,Centro Capital Doha By Rotana,"Al Jazeera St. Bin Mahmoud, P.O. Box 23935Doha, Doha, 23935, Qatar",4.3,2179
872685,Shangri La Apartments,"Conference Centre Street West Bay P.O. Box 9282, West BayP.O. Box 9282Doha, Doha, 9282, Qatar",4.6,58
872687,AlRayyan Hotel Doha Curio Col,"Mall of Qatar،, , Doha, 23325, Qatar",4.4,1540
872694,"voco Doha West Bay Suites, an IHG Hotel","Al Intisar Street West Bay, PO Box 5863Doha, Doha, 5863, Qatar",4.5,2695
872699,City Suites Hotel Apartments,"Ras Abu Abboud Road, PO Box 9786Doha, Doha, , Qatar",3.1,12
872702,Al Khariss Hotel,"PO Box 23618, Souq WaqifAl JasraDoha, Doha, , Qatar",2.9,40
872704,Al Jazeera Service Apartments,"Near Crazy Signal Airport road, Doha, Doha, , Qatar",4.1,354
872706,Dana Hotel,"OLD SALATA, MUSEUM STREET, DOHA, Doha, 15207, Qatar",3.5,64
872707,Holiday Inn Doha The Business Park,"Business Park Airport Road, Business ParkDoha, Doha, 0000, Qatar",4.6,4082
872714,Asas Twin Tower,"AMBASSADORS ST, WEST BAY, DIPLOMATIC AREA,, WEST BAY, Doha, , Qatar",4.2,108
872722,Mandarin Oriental Doha,"Barahat Msheireb St, , Doha, 00000, Qatar",4.7,2802
872731,Universal Suites Hotel Apartment,"Al Jazeera Street, Bin MahmoudDoha, Doha, , Qatar",4.1,47
872733,Alwadi Hotel Doha MGallery By Accorhotels,"Corner Of Wadi Musheireb, And Jassim Bin Mohammed St, , Doha, 24910, Qatar",4.8,5583
872739,Qatar Youth Hostel,"17 Al Rayhan Street, LuqtaDoha, Doha, , Qatar",3.9,339
872742,Premier Inn Doha Education City,"Off Al Luqta Street P.O Box No: 17128 Education City Doha Qatar, Education City DohaDohaKatar, Doha, 17128, Qatar",4.6,6113
872753,Retaj Salwa Resort & Spa,"Salwa Road, Abu Nakhlah, Exit 29،, , Doha, 13480, Qatar",4.3,2746
872756,Casa De Doha Hostel,"Al Thumama. al hadara street villa no 30, Al ThumamaVilla 30Doha, Doha, , Qatar",4.1,52
872761,Centara West Bay Residences & Suites Doha,"Diplomatic Street, , Doha, 23628, Qatar",4.6,1173
872764,White Moon Residence,"19 Amir Bin Rabiah Street 908, Zone 38North East 3Al Sadd Near Kia & Lulu Market, Doha, , Qatar",3.2,190
872767,Hilton Doha,"Diplomatic St, , Doha, 24572, Qatar",4.6,11972
872775,Whale Sharks Expedition Cruise,"Port of Doha, Qatar, Doha, 0, Qatar",4.8,15595
872781,New Blue Rose Hotel,"Building 9, Street 820 (Badr St, P.O. Box: 301460, الطريق الدايري الثاني، الدوحة،, , Doha, 30335, Qatar",4.4,895
872783,Le Royal Méridien Doha,"Place Vendome, Lusail, , Doha, 23474, Qatar",4.5,1213
872788,Waldorf Astoria Lusail,"Damsa Boulevard Entertainment City, Lusail, , Doha, , Qatar",4.8,4392
872791,Al Aseel Hotel Doha,"Al Arab Street, Building Number 75, Street 830, , Doha, , Qatar",3.9,423
872795,Century Marina Hotel - Lusail,"Marina 4, Lusail, , Doha, , Qatar",4.0,868
872806,Dusit Hotel and Suites Doha,"Street 831, 23373, , Doha, , Qatar",4.7,1504
872820,GRAND LUX HOTEL DOHA,"Jawan St. Al Sadd, Doha, Qatar, Doha, , Qatar",4.4,959
872845,"Al Samriya Hotel, Doha, Autograph Collection","Dukhan Road, Al Shahaniya, As Samiriyah, Qatar, , Doha, , Qatar",4.5,338
872848,Delta Hotels by Marriott City Center Doha,"Umm Arsaan St, , Doha, , Qatar",4.5,780
872851,Element by Westin City Center Doha,"Shamia Street, , Doha, , Qatar",4.4,605
872855,"The St Regis Marsa Arabia Island, The Pearl Qatar","Marsa Arabia, Island, , Doha, 14435, Qatar",4.7,1566
872865,VELERO HOTEL DOHA,"Al Majdami Street, Lusail, Qatar, Doha, 15789, Qatar",4.6,1131
872874,Al Manzil Residence & Suites,"810, Doha, Ad Dawhah, 1772, Doha, 1772, Qatar",4.1,129
872877,Cielo Hotel Lusail Qatar,"Al Tarfa Service Rd Cielo Hotel Lusail Lusail , Qatar, Doha, Qatar, Doha, 00000, Qatar",3.7,936
872880,Gloria Hotel and Suites,"Al Safliya Street Building 87, Old Salata, Doha, Qatar, Doha, , Qatar",3.8,874
872893,"Agora, Doha, Autograph Collection","Building No. 3, Street No. 353, Lusail, Qatar, Doha, -, Qatar",4.4,213
872900,Rixos Premium Qetaifan Island North,"Qetaifan Island North Street 305 Zone 69 Lusail City,, 2977 Doha, Qatar, Doha, 2977, Qatar",4.0,1228
872903,Element by Westin West Bay Doha,"Umm Awaarad Street,, Doha, Doha, , Qatar",4.6,1520
872905,Terminal Inn By Edar City Centre,"823 street building No 70, Zone 24, Doha, Qatar, Doha, , Qatar",3.8,92
872910,"Abesq Doha Hotel and Residences, an IHG Hotel","Suhaim Bin Hamad Street,, null Doha, Qatar, Doha, null, Qatar",4.7,1066
872916,Rosewood Doha,"Building 11 Street 309 Lusail Marina, Doha Qatar, Doha, ",4.7,66
872918,West Walk TOP Retaj Hotel Doha,"Building 34 Street 160 Zone 55, Doha Qatar, Doha, 25556",4.4,282
872920,Sea View 2BD Apartments West Bay,"Al Wehda St, , Doha, , Qatar",4.4,52
872923,Ezdan Hotel,"Al Betra, no.950 Zone 63 / Building, +974 44969111, 23 شارع الخريس، الدوحة،, , Doha, 23488, Qatar",3.9,5635
872925,Doha Homes,"Street 809 Al Thumama, , Doha, , Qatar",4.2,5526
872928,Multinet Properties,"Damac Tower Lusail, , Doha, 00000, Qatar",4.9,8
872930,Luxury Collection Resort & Spa Al Messila Resort,"Al Amir Street Street Number 970 Zone 36, , Doha, 00000, Qatar",4.5,1999
