id,name,address,rating,review_count
465707,Hotel One Bahawalpur,"Yazman Road Near Airport, Near Airport63100 Bahawalpur, Bahawalpur, 63100, Pakistan",4.1,1098
465708,Hotel Executive Lodges,"Baghdad Railway Station University Road, University RoadBahawalpur 63100, Bahawalpur, 63100, Pakistan",4.2,1334
465709,The Grand Regency,"Ahmadpur Road, Sadiq ColonyBahawalpur 63100, Bahawalpur, 63100, Pakistan",4.0,1030
465710,Pak Continental Hotel,"Bobby Plaza, Circular RoadBahawalpur, Bahawalpur, 63100, Pakistan",4.2,1584
465711,Motel Paradise Inn,"Block W 13A, Model Town CBahawalpur 63100, Bahawalpur, 63100, Pakistan",4.0,289
465712,Hotel State Residency,"Goheer Town Main Road Opposite Street # 05 Farid Colony,, , Bahawalpur, 63100, Pakistan",4.5,240
465713,Niagara Falls Bahawalpur,"Canal Road Near Dha, , Bahawalpur, 63100, Pakistan",4.2,59
465714,Victoria Inn Guest House,"14 C Line # 5A Hashmi Garden, , Bahawalpur, 63100, Pakistan",4.1,356
465715,Star View Guest House,"People Wala Chowk, , Bahawalpur, 63100, Pakistan",4.5,2
465721,Hotel One Faisalabad,"99 C Peoples Colony, 1 D Ground Faisalabad38000 Faisalabad, Faisalabad, 38040, Pakistan",4.1,3496
465722,Royalton Hotel,"P 1270 West Canal Road Abdullahpur 38000 Faisalabad, Abdullah PureFaisalabad 38000, Faisalabad, 38000, Pakistan",3.9,1599
465723,Babar House,"Susan Road Muhammadi Coloney, , Faisalabad, 38000, Pakistan",3.7,651
465724,Faizi Furnished Apartments,"F.Block Main Boulevard Wapdacity Canal Road Apartments Block F 13, , Faisalabad, 38000, Pakistan",4.1,94
465725,Wapda City Hotel,"Jinnah Avenue Block G Block G Wapda City, WAPDA City, , Faisalabad, 38000, Pakistan",4.1,24
465726,Lord's Inn,"Aranwala Rd Beside Shell Petrol Pump Muhammadia Colony, , Faisalabad, 38000, Pakistan",4.2,73
465727,Moon Hotel,"Railway Rd, , Faisalabad, 38000, Pakistan",4.7,96
465728,Sleep Inn Hotel,"Street Number 4, , Faisalabad, 48101, Pakistan",3.9,158
465729,Alhamra Hotel,"F6r8cm7 Alhamra Town East Canal Road, , Faisalabad, 38000, Pakistan",3.5,655
465730,Sarai Silk Route,"Village Passu Hunza, HunzaGilgit 44000, Gilgit, 44000, Pakistan",4.5,197
465731,Hikal Guest House & Restaurant,"Jaffarabad, Nagar ValleyGilgit 15400, Gilgit, 15400, Pakistan",4.5,128
465732,Ramada Resort by Wyndham Gilgit,"Main Quaid e Azam Road, Sakwar, Gilgit, Pakistan, Gilgit, 15101, Pakistan",4.4,243
465733,Alpine Pasture Guest House Gilgit City,"Satellite Town No.4 Jutial Gilgit Building No 1, , Gilgit, 15100, Pakistan",4.5,194
465734,Bercha Guest House Dorkhan Hunza,"Dorkhan Hunza Ali Abad Gilgit Baltistan 15600, , Gilgit, 15600, Pakistan",4.8,126
465735,Bhuribake Guest House Hunza,"Near Aga Khan Higher Secondary School karimabad, , Gilgit, 17500, Pakistan",4.7,22
465736,Baigs Paradise Guest House,"N 35 Aliabad Ali Abad, , Gilgit, 15600, Pakistan",4.8,46
